1.0   .49   .53   .49   .51  .33   .32   .20   .19   .30   .37   .21
 .49 1.0    .57   .46   .53  .30   .21   .16   .08   .27   .35   .20
 .53  .57  1.0    .48   .57  .31   .23   .14   .07   .24   .37   .18
 .49  .46   .48  1.0    .57  .24   .22   .12   .19   .21   .29   .16  
 .51  .53   .57   .57  1.0   .38   .32   .17   .23   .32   .36   .27
 .33  .30   .31   .24   .38  1.0   .43   .27   .24   .34   .37   .40
 .32  .21   .23   .22   .32   .43 1.0    .33   .26   .54   .32   .58
 .20  .16   .14   .12   .17   .27  .33  1.0    .25   .46   .29   .45
 .19  .08   .07   .19   .23   .24  .26   .25  1.0    .28   .30   .27
 .30  .27   .24   .21   .32   .34  .54   .46   .28  1.0    .35   .59
 .37  .35   .37   .29   .36   .37  .32   .29   .30   .35  1.0    .31
 .21  .20   .18   .16   .27   .40  .58   .45   .27   .59   .31  1.0
