37.8 29.2 74.7 112.0 73.7 66.5
40.5 31.2 81.5 124.0 79.2 72.3
40.3 31.0 80.3 116.5 78.6 73.8
38.9 30.5 74.8 111.0 72.2 66.6
37.6 29.2 73.2 100.5 73.6 67.3
39.7 30.8 78.2 118.0 76.3 71.2
39.1 30.8 80.6 118.0 80.0 73.2
38.3 29.8 74.0 108.5 72.3 66.4
39.0 29.8 77.1 118.0 75.4 69.9
39.8 31.1 82.9 122.5 80.8 73.5
39.7 31.0 78.6 119.0 76.2 71.5
40.2 30.1 75.5 116.0 75.6 71.3
39.7 30.4 78.9 117.0 77.9 71.5
38.8 30.8 77.2 116.0 75.6 69.3
38.9 30.2 78.8 118.0 75.9 71.3
39.0 30.6 79.9 119.5 78.3 73.0
35.6 29.0 71.7 107.0 70.4 64.9
39.5 29.7 77.7 118.0 75.4 69.4
38.8 28.6 70.4 108.0 71.8 66.1
39.3 30.2 75.6 114.0 74.8 69.3
37.7 29.8 72.9 112.0 72.5 66.8
37.8 31.2 76.0 112.5 74.6 67.7
39.6 29.9 78.3 115.5 73.7 67.5
40.0 29.9 77.8 111.5 74.6 69.9
40.3 29.9 76.4 116.5 78.2 72.2
39.3 29.8 78.7 117.5 74.8 67.7
37.4 29.0 75.9 112.0 74.0 68.1
38.5 30.5 76.7 114.0 75.2 69.4
40.2 30.0 78.2 120.0 76.5 70.5
37.1 29.0 71.6 106.5 72.4 66.0
35.9 28.6 74.5 110.0 72.5 66.7
36.8 29.4 72.3 114.5 70.7 66.8
42.4 32.7 87.7 130.5 85.0 77.2
39.3 29.9 81.3 121.0 77.6 70.7
38.3 30.1 74.3 110.5 72.6 66.2
40.2 31.3 77.7 118.0 77.1 71.1
40.5 31.3 72.3 109.0 72.8 66.6
39.4 30.0 76.7 114.0 75.0 68.3
40.5 31.5 78.9 119.0 75.9 70.5
37.2 29.6 75.8 107.5 72.5 66.1
39.3 29.6 78.2 115.5 77.9 71.4
36.3 28.2 76.0 109.0 72.9 67.5
39.3 30.0 79.2 116.0 77.4 71.0
39.3 30.3 76.7 115.5 75.9 69.7
37.8 28.7 72.5 107.5 70.6 65.6
38.0 29.0 76.5 112.5 75.1 68.7
37.8 29.4 73.8 108.5 72.4 66.1
40.6 30.3 79.0 117.0 77.4 71.8
39.2 29.8 75.1 112.5 73.2 67.3
38.8 31.3 82.9 123.5 78.1 72.8
36.9 30.1 72.8 109.5 71.5 65.3
38.7 29.7 79.9 117.5 76.6 71.3
40.2 30.9 80.1 120.0 76.5 70.9
39.1 30.5 77.4 116.0 75.9 69.6
39.8 30.4 78.0 116.5 76.5 70.2
37.7 29.8 78.0 115.0 74.6 69.2
39.6 30.5 81.0 120.0 79.4 72.0
39.2 29.0 77.5 117.5 77.4 70.7
40.4 31.1 79.3 117.5 79.0 72.8
38.4 29.7 76.7 111.0 74.7 67.6
40.1 30.1 78.8 117.5 78.6 71.8
40.5 30.7 84.0 124.0 80.1 73.8
40.1 30.0 80.0 122.0 77.0 71.4
41.2 30.3 85.0 126.5 81.0 74.8
39.8 30.4 80.1 116.0 76.8 71.2
39.5 30.1 77.8 115.0 74.9 69.1
39.5 30.1 80.9 118.5 76.8 70.8
36.7 28.8 76.6 114.5 75.0 69.7
39.0 29.7 79.6 122.0 77.6 72.3
37.9 28.5 76.8 113.5 74.3 66.5
37.9 27.9 75.6 112.0 75.3 69.0
36.2 27.9 75.0 108.0 70.9 65.4
37.4 29.6 80.1 121.0 75.7 70.9
37.6 29.0 77.7 114.0 74.2 69.8
37.7 31.2 79.1 116.5 76.2 70.0
37.3 28.5 72.9 111.0 73.2 67.0
39.3 30.3 77.5 116.5 75.3 70.0
39.0 30.5 76.2 111.0 70.5 65.8
39.6 28.5 76.6 115.5 74.2 68.4
37.8 30.2 75.2 114.0 74.4 69.0
38.2 29.9 80.5 120.5 75.7 70.6
38.3 29.7 76.8 113.0 74.0 69.0
37.2 28.4 74.9 109.5 72.3 65.3
39.8 29.7 80.7 118.0 78.6 73.4
38.2 30.5 76.2 113.5 73.9 68.3
37.5 29.0 74.6 109.5 72.8 67.0
39.8 30.2 84.9 125.0 78.4 72.3
37.4 30.0 75.8 114.5 73.5 67.1
38.5 29.3 77.8 113.5 73.9 68.1
39.6 30.4 78.2 118.0 75.7 70.1
37.8 28.7 76.6 112.0 74.3 68.4
37.4 28.8 80.7 120.0 78.3 73.4
40.4 30.6 80.2 115.0 75.6 71.4
39.4 31.4 79.6 117.5 75.4 68.9
39.6 31.0 80.7 119.0 76.8 71.1
39.4 30.0 82.6 123.0 74.4 70.5
39.0 30.2 77.8 116.0 74.7 68.9
39.3 29.9 74.5 110.5 71.6 67.0
36.2 29.2 74.2 109.0 72.0 66.0
39.6 30.0 76.7 114.5 74.7 69.8
39.1 29.4 77.7 116.0 79.7 68.0
38.0 28.7 75.8 115.5 76.2 70.0
36.8 27.3 73.3 109.0 70.3 65.7
36.6 28.3 73.4 108.5 70.1 64.3
38.1 29.2 76.0 113.0 71.3 65.8
39.6 30.8 82.4 121.0 79.0 73.3
39.6 29.9 80.2 118.5 77.4 71.7
39.2 29.2 77.2 115.0 74.5 69.3
39.3 29.4 75.7 113.5 73.4 68.3
37.3 29.4 75.3 112.0 72.5 67.6
37.8 29.5 74.6 113.0 71.7 66.8
37.5 28.8 73.2 110.0 69.8 66.4
36.5 29.8 78.6 117.0 76.6 72.1
36.7 27.1 74.2 108.5 71.0 66.4
36.3 29.4 73.0 108.0 70.0 65.9
37.0 28.6 79.7 113.0 73.2 69.5
39.2 29.7 82.8 126.5 78.0 73.4
38.2 29.1 78.8 116.5 74.8 69.7
36.3 28.0 74.6 109.0 70.7 65.1
38.3 29.6 77.2 114.0 71.9 65.2
37.7 29.9 80.3 117.0 75.8 69.5
37.3 28.6 72.0 106.5 69.4 62.7
37.3 29.1 76.2 115.0 73.6 68.5
38.3 29.5 76.1 118.5 73.5 67.8
41.4 30.5 82.3 123.0 78.7 71.5
40.9 30.6 77.2 114.5 76.2 69.6
37.6 30.5 81.1 122.0 77.2 70.7
39.3 30.6 78.4 118.0 76.4 71.4
37.9 30.1 82.5 121.5 75.7 72.5
38.3 28.8 78.6 112.0 72.6 67.2
40.3 29.8 80.7 124.0 78.2 72.8
40.3 30.4 76.4 115.0 73.9 69.5
37.9 29.5 74.9 111.5 71.8 66.7
35.9 27.9 76.4 110.0 72.2 67.4
38.5 28.7 77.4 117.0 74.6 69.3
38.6 30.0 80.3 118.0 77.2 72.4
40.0 30.5 84.9 127.0 79.1 73.9
39.9 31.4 75.5 116.5 73.8 69.3
39.7 30.0 87.3 128.5 81.5 75.8
38.5 28.9 77.1 113.5 73.0 67.3
